,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,jp_parent_route_id,route_color,route_text_color
4,5-一周線（左回り）,5-田営,,田沢湖一周線,,3,,b25900,ffffff
5,5-一周線（右回り）,5-田営,,田沢湖一周線,,3,,b25900,ffffff
6,5-駒ヶ岳線,5-田営,,駒ヶ岳線,田沢湖駅前～アルパこまくさ～駒ヶ岳八合目,3,,00468c,ffffff
7,5-玉川線,5-田営,,玉川線,,3,,ff5c26,ffffff
8,5-新玉川線,5-田営,,新玉川線,,3,,ff5c26,ffffff
9,5-横手清陵学院線,5-横営,,横手清陵学院線,,3,,,
10,5-横手市内線,5-横営,,横手市内線,,3,,,
11,5-朝日が丘線上台線,5-横営,,朝日が丘線／上台線,,3,,,
12,5-朝日が丘線,5-横営,,朝日が丘線,,3,,,
13,5-上台線,5-横営,,上台線,,3,,,
14,5-大森線,5-横営,,大森線,,3,,,
15,5-角間川線,5-横営,,角間川線,,3,,,
16,5-山内線,5-横営,,山内線,,3,,24008b,ffffff
17,5-本荘線,5-横営,,横手・本荘線,急行本荘線を含む,3,,ffcc00,
18,5-横手小安線,5-横営,,横手・小安線,,3,,5ba270,ffffff
19,5-ふるさと村線,5-横営,,ふるさと村線,,3,,,
20,5-横手湯沢岩井川線,5-湯営,,横手・湯沢線／岩井川線,,3,,ff4d4c,ffffff
21,5-横手湯沢線,5-湯営,,横手・湯沢線,,3,,,
22,5-湯沢小安線,5-湯営,,湯沢・小安線,,3,,d24fff,ffffff
23,5-横堀線,5-湯営,,横堀線,,3,,01b284,ffffff
24,5-岩井川線,5-湯営,,岩井川線,,3,,ff4d4c,ffffff
25,5-西馬音内線,5-湯営,,西馬音内線,,3,,ac8407,ffffff
26,5-山田線,5-湯営,,山田線,,3,,,
27,5-雄湯郷循環線,5-湯営,雄湯郷,雄湯郷ランド・シャトルバス,,3,,,
28,5-横手大曲線,5-大営,,横手・大曲線,,3,,ed4f18,ffffff
29,5-川西線,5-大営,,川西線,,3,,,
30,5-千屋線,5-大営,,千屋線,,3,,,
31,5-イオン・イーストモール線,5-大営,イオンＥＭ線,イオン・イーストモール線,,3,,,
32,5-長信田線,5-大営,,長信田線,,3,,,
33,5-杉山田線,5-大営,,杉山田線,,3,,,
34,5-南外線,5-大営,,南外線,,3,,,
35,5-船岡線,5-境営,,船岡線,,3,,,
36,5-淀川線,5-境営,,淀川線,,3,,,
37,5-峰吉川線,5-境営,,峰吉川線,,3,,,
38,5-稲沢線,5-境営,稲沢線,角館・稲沢線,境～協和小学校～上稲沢～花葉館前～角館,3,,ba8637,ffffff
39,5-本荘市内線,5-本営,,本荘市内線,,3,,,
40,5-県立大学線,5-本営,,県立大学線,,3,,,
41,5-赤田線,5-本営,,赤田線,,3,,013465,ffffff
42,5-岩谷線,5-本営,,岩谷線,,3,,ad5313,ffffff
43,5-松ヶ崎線,5-本営,,松ヶ崎線,,3,,285dff,ffffff
44,5-秋田線,5-本営,,秋田線,,3,,ff6699,ffffff
45,5-東由利線,5-本営,,東由利線,,3,,698d01,ffffff
46,5-象潟線,5-本営,,本荘象潟線,,3,,016634,ffffff
47,5-福祉エリア線,5-本営,,福祉エリア線,,3,,,
48,5-本荘高校線,5-本営,,本荘高校線,,3,,,
49,5-小砂川線,5-本営,,小砂川線,,3,,ffb870,
50,5-仁賀保高校線,5-本営,,仁賀保高校線,,3,,e496ff,ffffff
